files-in-error-series,-1
INSPIRE-bibtex-keys,Jani:2016wkt
NR-code,MAYA
point-of-contact-email,deirdre.shoemaker@physics.gatech.edu
object1,BH
object2,BH
spin1y,0.0
spin1x,0.0
spin1z,0.0
modification-date,2017-06-19
production-run,1
alternative-names,fr_b3.1_a0.6_oth.220_rr_M77
Contact Person,Deirdre Shoemaker
Format,1
LNhaty,0.075643070000000007
LNhatx,-0.020647769999999999
LNhatz,0.99692115999999997
mean_anomaly,3.4921176633230275
spin-type,NonSpinning
type,NRinjection
comparable-simulation,GT0560
init_sep,5.6665892395053046
NR-group,Georgia Tech
spin2x,0.0
spin2y,0.0
spin2z,0.0
eccentricity,0.43379203842244601
nhatz,0.03536446
simulation-type,precessing
nhatx,0.97935364000000003
nhaty,-0.19903717000000001
mass1,0.5
name,GT0286
license,public
mass2,0.5
Omega,0.11722299393008287
Lmax,6
eta,0.25
Warning1,
NR-techniques,"Puncture-ID, BSSN, Psi4-integrated, Finite-Radius-Waveform, ApproxKillingVector-Spin, Christodoulou-Mass"
PN_approximant,None
Warning2,Mass Information not available at t_begin. Will be provided at t=0.
f_lower_at_1MSUN,3786.8082317483577
