files-in-error-series,''
INSPIRE-bibtex-keys,Jani:2016wkt
NR-code,MAYA
point-of-contact-email,deirdre.shoemaker@physics.gatech.edu
object1,BH
object2,BH
spin1y,0.0
spin1x,0.0
spin1z,0.0
modification-date,2017-04-16
production-run,1
alternative-names,D9_q3.2_a0.0_m160
Contact Person,Deirdre Shoemaker
Format,1
LNhaty,0.0
LNhatx,0.0
LNhatz,1.0
mean_anomaly,5.364512535478835
type,NRinjection
comparable-simulation,GT0582
init_sep,8.8087327302041984
NR-group,Georgia Tech
spin2x,0.0
spin2y,0.0
spin2z,0.0
eccentricity,0.0032447357909515242
nhatz,-0.0
simulation-type,non-spinning
nhatx,-0.64372112999999997
nhaty,0.76526015999999997
mass1,0.76190475999999996
name,GT0759
license,public
mass2,0.23809524000000001
Omega,0.066083162114324731
Lmax,8
eta,0.18140590000000001
spin-type,NonSpinning
NR-techniques,"Puncture-ID, BSSN, Psi4-integrated, Finite-Radius-Waveform, ApproxKillingVector-Spin, Christodoulou-Mass"
PN_approximant,None
f_lower_at_1MSUN,2134.7711219843368
